Hash_Key1      Hash_Key2      Size
51             7              35             
51             8              56             
51             9              84             
51             10             120            
51             11             165            
51             12             220            
51             13             286            
51             14             364            
51             15             455            
51             16             304            
51             17             424            
51             18             560            
51             19             717            
51             20             500            
51             21             690            
51             22             900            
51             23             1141           
51             24             744            
51             25             1020           
51             26             1320           
51             27             1665           
51             28             1036           
51             29             1414           
51             30             1820           
51             31             2290           
51             32             1376           
51             33             1872           
51             34             2400           
51             35             3017           
51             36             1764           
51             37             2394           
51             38             3060           
51             39             3847           
51             40             2200           
51             41             2980           
51             42             3800           
51             43             4781           
51             44             2748           
51             45             3694           
51             46             4684           
51             47             5883           
51             48             17296          
51             49             18424          
51             50             19664          
